Year,Month,Julian Day,Hour,Incoming Shortwave Radiation,Ambient Air Temperature,Barometric Pressure
2010,1,7,4,0,-4.27,101.43
2010,1,7,5,0,-4.349,101.4
2010,1,7,6,0,-4.257,101.4
2010,1,7,7,0,-3.948,101.43
2010,1,7,8,3.195,-4.168,101.42
2010,1,7,9,43.45,-4.11,101.44
2010,1,7,10,82.4,-4.078,101.45
2010,1,7,11,147.6,-4.025,101.46
2010,1,7,12,157.2,-3.58,101.37
2010,1,7,13,125.8,-3.257,101.28
2010,1,7,14,104.1,-3.355,101.21
2010,1,7,15,65.79,-3.32,101.18
2010,1,7,16,25.55,-3.598,101.15
2010,1,7,17,6.389,-3.912,101.14
2010,1,7,18,0,-4.06,101.13
2010,1,7,19,0,-5.164,101.07
2010,1,7,20,0,-5.421,101.05
2010,1,7,21,0,-5.794,101.01
2010,1,7,22,0,-5.739,100.99
2010,1,7,23,0,-5.879,100.96
2010,1,7,24,0,-6.854,100.94
2010,1,8,1,0.639,-7.38,100.89
2010,1,8,2,5.113,-7.71,100.88
2010,1,8,3,3.196,-8.38,100.9
2010,1,8,4,0,-8.98,100.92
2010,1,8,5,0,-9.52,100.93
2010,1,8,6,0,-9.95,100.98
2010,1,8,7,0,-10.05,101.04
2010,1,8,8,6.392,-9.97,101.1
2010,1,8,9,79.3,-10.31,101.16
2010,1,8,10,186.7,-9.53,101.2
2010,1,8,11,173.2,-8.44,101.23
2010,1,8,12,326.6,-7.19,101.24
2010,1,8,13,479.9,-6.267,101.25
2010,1,8,14,384.6,-6.688,101.28
2010,1,8,15,249.1,-7.19,101.35
2010,1,8,16,118.2,-8.3,101.45
2010,1,8,17,16.62,-9.28,101.55
2010,1,8,18,-2.557,-10.22,101.64
2010,1,8,19,0,-10.52,101.67
2010,1,8,20,0,-10.55,101.72
2010,1,8,21,0,-10.37,101.74
2010,1,8,22,0,-10.02,101.79
2010,1,8,23,0,-10.3,101.84
2010,1,8,24,0,-10.61,101.87
2010,1,9,1,0,-11.34,101.91
2010,1,9,2,0,-12.12,101.97
2010,1,9,3,0,-11.89,102.02
2010,1,9,4,0,-11.84,102.07
2010,1,9,5,0,-11.93,102.12
2010,1,9,6,-6.395,-13.43,102.17
2010,1,9,7,0,-14.69,102.25
2010,1,9,8,5.118,-16.82,102.32
2010,1,9,9,129.9,-14.53,102.38
2010,1,9,10,0.371,-13.05,102.45
2010,1,9,11,0.445,-11.18,102.5
2010,1,9,12,359.2,-10.03,102.5
2010,1,9,13,450.5,-9.19,102.47
2010,1,9,14,394.3,-8.87,102.44
2010,1,9,15,293.3,-8.49,102.46
2010,1,9,16,0.147,-8.89,102.5
2010,1,9,17,9.59,-10.38,102.51
2010,1,9,18,-1.918,-12.7,102.5
2010,1,9,19,-0.64,-16.27,102.55
2010,1,9,20,-5.118,-14.58,102.57
2010,1,9,21,0,-16.38,102.59
2010,1,9,22,-0.64,-17.89,102.59
2010,1,9,23,-6.399,-19.72,102.6
2010,1,9,24,-6.4,-20.73,102.58
2010,1,10,1,-6.401,-21.3,102.52
2010,1,10,2,-6.401,-21.1,102.51
2010,1,10,3,-6.401,-21.35,102.48
2010,1,10,4,-6.401,-20.52,102.44
2010,1,10,5,0,-18.26,102.4
2010,1,10,6,-6.4,-16.48,102.4
2010,1,10,7,-1.92,-11.98,102.38
2010,1,10,8,0,-11.64,102.39
2010,1,10,9,94.6,-10.98,102.38
2010,1,10,10,129.2,-9.05,102.37
2010,1,10,11,392.5,-7.53,102.34
2010,1,10,12,345.1,-0.007,102.26
2010,1,10,13,491.4,-6.259,102.17
2010,1,10,14,435.1,-6.877,102.11
2010,1,10,15,308.6,-6.917,102.09
2010,1,10,16,150.1,-6.78,102.05
2010,1,10,17,10.22,-7.18,102.01
2010,1,10,18,0,-7.66,101.98
2010,1,10,19,0,-7.94,101.96
2010,1,10,20,0,-8.25,101.93
2010,1,10,21,0,-8.7,101.9
2010,1,10,22,0,-9.19,101.85
2010,1,10,23,-1.918,-9.73,101.83
2010,1,10,24,0,-10.16,101.84
2010,1,11,1,0,-9.93,101.74
2010,1,11,2,0,-10.15,101.68
2010,1,11,3,0,-9.8,101.69
2010,1,11,4,0,-9.29,101.66
2010,1,11,5,0,-8.55,101.6
2010,1,11,6,0,-8.35,101.57
2010,1,11,7,0,-8.51,101.49
2010,1,11,8,0,-8.56,101.51
2010,1,11,9,25.57,-8.55,101.52
2010,1,11,10,67.11,-8.42,101.54
2010,1,11,11,122.7,-8.24,101.58
2010,1,11,12,159.8,-7.89,101.53
2010,1,11,13,152.1,-7.74,101.46
2010,1,11,14,144.4,-7.23,101.46
2010,1,11,15,107.4,-6.904,101.49
2010,1,11,16,66.46,-6.966,101.53
2010,1,11,17,11.5,-7.35,101.58
2010,1,11,18,0,-7.66,101.7
2010,1,11,19,0,-7.91,101.78
2010,1,11,20,0,-8.05,101.86
2010,1,11,21,5.113,-8.03,101.89
2010,1,11,22,1.917,-8.19,101.88
2010,1,11,23,0,-9.14,101.91
2010,1,11,24,0,-8.54,101.96
2010,1,12,1,0,-7.74,101.96
2010,1,12,2,-0.639,-11.7,101.97
2010,1,12,3,-5.115,-11.11,102.03
2010,1,12,4,0,-11.56,102.11
2010,1,12,5,0,-7.74,102.13
2010,1,12,6,0,-8.08,102.17
2010,1,12,7,0,-8.73,102.22
2010,1,12,8,4.475,-10.38,102.26
2010,1,12,9,81.2,-9.17,102.29
2010,1,12,10,205.2,-8.74,102.34
2010,1,12,11,272.9,-7.78,102.34
2010,1,12,12,258.8,-7.29,102.33
2010,1,12,13,229.4,-7.09,102.27
2010,1,12,14,236.4,-6.824,102.21
2010,1,12,15,190.4,-7.08,102.25
2010,1,12,16,98.4,-7.71,102.24
2010,1,12,17,12.14,-8.27,102.26
2010,1,12,18,-5.113,-9.04,102.22
2010,1,12,19,0,-10.85,102.28
2010,1,12,20,0.639,-8.63,102.28
2010,1,12,21,0,-6.848,102.27
2010,1,12,22,0,-6.058,102.24
2010,1,12,23,5.113,-6.451,102.21
2010,1,12,24,0,-6.601,102.22
2010,1,13,1,0.639,-7.06,102.16
2010,1,13,2,1.917,-7.26,0.102
2010,1,13,3,3.835,-7.25,102.03
2010,1,13,4,5.113,-6.668,0.102
2010,1,13,5,2.557,-6.057,101.97
2010,1,13,6,0,-5.652,101.92
2010,1,13,7,0,-5.281,101.96
2010,1,13,8,0.639,-4.989,101.96
2010,1,13,9,35.15,-4.669,101.92
2010,1,13,10,96.5,-4.49,101.91
2010,1,13,11,152.7,-4.235,101.88
2010,1,13,12,458.7,-3.07,101.78
2010,1,13,13,249.1,-3.259,101.69
2010,1,13,14,385.1,-2.609,101.61
2010,1,13,15,284.2,-2.352,101.56
2010,1,13,16,140.5,-2.385,101.54
2010,1,13,17,15.33,-3.057,101.55
2010,1,13,18,0,-4.062,101.6
2010,1,13,19,0,-4.378,101.63
2010,1,13,20,0,-4.969,101.66
2010,1,13,21,-4.473,-5.706,101.66
2010,1,13,22,-1.278,-7.27,101.67
2010,1,13,23,0,-8.54,101.67
2010,1,13,24,0,-10.57,101.67
2010,1,14,1,0,-9.18,101.65
2010,1,14,2,0,-6.477,101.66
2010,1,14,3,-6.392,-7.32,101.66
2010,1,14,4,-5.753,-6.929,101.63
2010,1,14,5,-2.557,-6.805,101.61
2010,1,14,6,-0.639,-5.754,101.62
2010,1,14,7,-4.474,-6.514,101.62
2010,1,14,8,6.391,-6.646,101.63
2010,1,14,9,118.9,-5.381,101.62
2010,1,14,10,338.1,-3.45,101.63
2010,1,14,11,472.8,-1.658,101.64
2010,1,14,12,436.9,0.14,101.56
2010,1,14,13,462.3,1.618,101.49
2010,1,14,14,307.8,2.424,101.44
2010,1,14,15,0.196,2.284,101.44
2010,1,14,16,114.9,1.809,101.42
2010,1,14,17,10.86,0.677,101.47
2010,1,14,18,3.832,0.572,101.43
2010,1,14,19,0.639,1.479,101.38
2010,1,14,20,0,1.937,101.4
2010,1,14,21,0,1.971,101.39
2010,1,14,22,2.554,1.936,101.44
2010,1,14,23,6.386,1.975,101.46
2010,1,14,24,6.386,1.84,101.47
2010,1,15,1,4.47,1.765,101.47
2010,1,15,2,0.639,1.275,101.48
2010,1,15,3,0.639,0.929,101.53
2010,1,15,4,0,0.727,101.55
2010,1,15,5,1.916,0.787,101.59
2010,1,15,6,3.832,0.683,101.65
2010,1,15,7,1.916,0.212,101.77
2010,1,15,8,6.387,0.06,101.85
2010,1,15,9,19.8,0.183,101.93
2010,1,15,10,65.79,0.397,101.99
2010,1,15,11,120.7,0.851,102.04
2010,1,15,12,92.6,0.95,102.05
2010,1,15,13,93.9,0.913,102.04
2010,1,15,14,0.09,0.933,102.05
2010,1,15,15,81.1,1.092,102.05
2010,1,15,16,48.53,1.087,102.09
2010,1,15,17,6.386,0.849,102.18
2010,1,15,18,0,0.634,102.14
2010,1,15,19,0,0.419,102.14
2010,1,15,20,1.277,0.247,102.18
2010,1,15,21,2.555,0.113,102.19
2010,1,15,22,3.194,-0.112,102.06
2010,1,15,23,5.11,-0.202,102.06
2010,1,15,24,6.387,-0.39,102.04
2010,1,16,1,6.387,-0.499,102.04
2010,1,16,2,5.749,-0.651,102.08
2010,1,16,3,6.388,-1.177,102.02
2010,1,16,4,5.11,-1.284,0.102
2010,1,16,5,3.194,-1.487,101.95
2010,1,16,6,1.916,-1.695,0.102
2010,1,16,7,0,-1.952,101.97
2010,1,16,8,5.749,-2.14,101.93
2010,1,16,9,28.11,-2.263,102.04
2010,1,16,10,80.5,-1.916,102.01
2010,1,16,11,140.5,-1.764,101.99
2010,1,16,12,134.8,-1.62,102.01
2010,1,16,13,0.161,-1.853,101.95
2010,1,16,14,0.228,-1.574,101.88
2010,1,16,15,137.3,-1.582,101.83
2010,1,16,16,55.57,-1.952,101.92
2010,1,16,17,12.14,-2.27,101.97
2010,1,16,18,0.639,-2.454,101.89
2010,1,16,19,6.388,-2.637,101.87
2010,1,16,20,6.388,-3.013,101.78
2010,1,16,21,2.555,-3.083,101.77
2010,1,16,22,0,-3.051,101.76
2010,1,16,23,0,-2.734,101.7
2010,1,16,24,0,-2.676,101.58
2010,1,17,1,0,-2.757,101.53
2010,1,17,2,0,-2.691,101.51
2010,1,17,3,0,-2.821,101.45
2010,1,17,4,0,-2.799,101.38
2010,1,17,5,0,-2.741,101.35
2010,1,17,6,0,-2.776,101.25
2010,1,17,7,0,-2.784,101.25
2010,1,17,8,0,-2.787,101.17
2010,1,17,9,25.55,-2.744,101.15
2010,1,17,10,86.2,-2.373,101.07
2010,1,17,11,117.5,-2.235,100.97
2010,1,17,12,166.1,-1.554,100.87
2010,1,17,13,238.2,-0.588,100.79
2010,1,17,14,148.2,-0.113,100.72
2010,1,17,15,136.7,0.216,100.64
2010,1,17,16,56.84,0.235,100.68
2010,1,17,17,12.13,0.297,100.69
2010,1,17,18,0,0.527,100.68
2010,1,17,19,0,0.652,100.67
2010,1,17,20,0,0.66,100.69
2010,1,17,21,0,0.62,100.67
2010,1,17,22,0,0.527,100.63
2010,1,17,23,1.916,0.218,100.66
2010,1,17,24,0,0.251,100.68
2010,1,18,1,0,-0.554,100.65
2010,1,18,2,0,-1.056,100.67
2010,1,18,3,0,-2.145,100.72
2010,1,18,4,0,-3.169,100.73
2010,1,18,5,5.111,-3.902,100.76
2010,1,18,6,3.195,-4.413,100.81
2010,1,18,7,0,-4.422,100.91
2010,1,18,8,1.917,-4.419,100.96
2010,1,18,9,28.11,-4.037,101.03
2010,1,18,10,79.2,-3.758,101.07
2010,1,18,11,98.4,-3.135,101.11
2010,1,18,12,97.1,-2.921,101.08
2010,1,18,13,95.2,-2.615,101.03
2010,1,18,14,88.2,-2.229,100.99
2010,1,18,15,53.66,-2.215,0.101
2010,1,18,16,27.47,-2.899,101.04
2010,1,18,17,6.388,-3.67,101.09
2010,1,18,18,6.388,-3.655,101.15
2010,1,18,19,0.639,-3.469,101.19
2010,1,18,20,0,-3.174,101.21
2010,1,18,21,0,-3.172,101.18
2010,1,18,22,0,-2.923,101.2
2010,1,18,23,0,-2.865,101.18
2010,1,18,24,0,-2.949,101.15
2010,1,19,1,0,-2.96,101.11
2010,1,19,2,0,-3.104,101.11
2010,1,19,3,0,-3.162,101.13
2010,1,19,4,0,-3.297,101.09
2010,1,19,5,0,-3.635,101.09
2010,1,19,6,0,-3.856,101.09
2010,1,19,7,0,-3.659,101.07
2010,1,19,8,1.917,-3.448,101.08
2010,1,19,9,36.42,-3.049,101.12
2010,1,19,10,87.5,-2.777,101.12
2010,1,19,11,0.099,-2.171,101.14
2010,1,19,12,130.3,-1.274,101.09
2010,1,19,13,123.9,-0.608,101.03
2010,1,19,14,107.9,-0.401,100.98
2010,1,19,15,0.099,-0.221,100.98
2010,1,19,16,51.1,-0.247,101.01
2010,1,19,17,10.22,-0.669,101.06
2010,1,19,18,0,-1.095,101.06
2010,1,19,19,0,-1.352,101.09
2010,1,19,20,0,-1.465,101.11
2010,1,19,21,0,-1.758,101.14
2010,1,19,22,0,-2.869,101.19
2010,1,19,23,1.278,-3.397,101.23
2010,1,19,24,0,-3.784,101.24
2010,1,20,1,0,-4.143,101.25
2010,1,20,2,0,-4.408,101.29
2010,1,20,3,0,-4.839,101.34
2010,1,20,4,0,-6.432,101.35
2010,1,20,5,-0.639,-6.232,101.4
2010,1,20,6,-5.112,-7.24,101.44
2010,1,20,7,0,-7.35,101.51
2010,1,20,8,6.391,-7.41,101.57
2010,1,20,9,64.55,-7.5,101.6
2010,1,20,10,166.2,-7.67,101.64
2010,1,20,11,417.9,-6.779,101.7
2010,1,20,12,396.7,-6.312,101.72
2010,1,20,13,479.1,-5.528,101.67
2010,1,20,14,432.4,-5.198,101.58
2010,1,20,15,325.1,-4.707,101.58
2010,1,20,16,187.1,-4.488,101.65
2010,1,20,17,9.58,-5.379,101.77
2010,1,20,18,-1.278,-6.553,101.75
2010,1,20,19,0,-7.27,101.77
2010,1,20,20,-0.639,-8.14,101.96
2010,1,20,21,0.639,-0.008,101.98
2010,1,20,22,0,-8.27,101.95
2010,1,20,23,0,-7.4,101.97
2010,1,20,24,0,-7.01,101.97
2010,1,21,1,0,-7.19,101.95
2010,1,21,2,0,-7.99,0.102
2010,1,21,3,-0.639,-10.37,102.04
2010,1,21,4,0,-12.51,101.99
2010,1,21,5,-0.64,-14.05,101.96
2010,1,21,6,1.919,-10.99,101.92
2010,1,21,7,0,-9.3,102.12
2010,1,21,8,6.393,-8.91,102.07
2010,1,21,9,120.8,-7.15,102.03
2010,1,21,10,0.411,-5.252,102.04
2010,1,21,11,485.6,-3.549,102.03
2010,1,21,12,424.2,-2.072,101.86
2010,1,21,13,486.1,-0.929,101.76
2010,1,21,14,443.3,-0.335,101.65
2010,1,21,15,335.9,-0.589,101.64
2010,1,21,16,50.45,-2.05,101.67
2010,1,21,17,18.52,-2.217,101.66
2010,1,21,18,0,-2.436,101.64
2010,1,21,19,0,-2.695,101.57
2010,1,21,20,0,-2.358,101.51
2010,1,21,21,0,-2.084,101.57
2010,1,21,22,0,-2.072,101.52
2010,1,21,23,3.833,-2.214,101.46
2010,1,21,24,0.639,-1.868,101.39
2010,1,22,1,0.639,-1.783,101.3
2010,1,22,2,2.555,-1.711,101.25
2010,1,22,3,-4.472,-1.863,101.25
2010,1,22,4,-6.388,-1.956,101.22
2010,1,22,5,0,-1.597,101.24
2010,1,22,6,0,-1.441,101.27
2010,1,22,7,0,-1.831,101.29
2010,1,22,8,6.388,-2.48,101.39
2010,1,22,9,0.023,-2.639,101.46
2010,1,22,10,70.9,-1.985,101.49
2010,1,22,11,169.3,-1.296,101.52
2010,1,22,12,385.2,-1.241,101.48
2010,1,22,13,495.6,-0.126,101.44
2010,1,22,14,461.1,1.054,101.38
2010,1,22,15,260.5,1.457,101.43
2010,1,22,16,166.7,0.912,101.51
2010,1,22,17,30.01,0.245,101.64
2010,1,22,18,0,-1.203,101.75
2010,1,22,19,-2.555,-1.861,101.8
2010,1,22,20,0,-2.378,101.79
2010,1,22,21,0,-3.407,101.82
2010,1,22,22,-3.195,-4.103,101.89
2010,1,22,23,-2.556,-4.262,101.93
2010,1,22,24,0,-4.309,101.95
2010,1,23,1,0,-3.252,102.03
2010,1,23,2,0,-2.309,101.98
2010,1,23,3,0,-2.403,102.04
2010,1,23,4,0,-2.87,0.102
2010,1,23,5,0,-2.982,102.03
2010,1,23,6,0,-3.019,102.03
2010,1,23,7,0,-3.062,101.99
2010,1,23,8,5.111,-3.344,102.1
2010,1,23,9,37.06,-3.248,102.17
2010,1,23,10,111.8,-3.03,102.1
2010,1,23,11,311.7,-2.582,101.97
2010,1,23,12,411.4,-1.053,101.9
2010,1,23,13,0.449,0.299,101.79
2010,1,23,14,451.5,0.832,101.75
2010,1,23,15,274.6,0.269,101.74
2010,1,23,16,109.8,-1.031,101.7
2010,1,23,17,28.74,-1.378,101.69
2010,1,23,18,1.916,-1.509,101.67
2010,1,23,19,0,-1.438,101.63
2010,1,23,20,0,-1.131,101.5
2010,1,23,21,0.639,-0.725,101.47
2010,1,23,22,0,-0.313,101.38
2010,1,23,23,0,-0.306,101.33
2010,1,23,24,0,-0.317,101.29
2010,1,24,1,0,-0.524,101.23
2010,1,24,2,0,-0.585,101.17
2010,1,24,3,0,-0.247,101.12
2010,1,24,4,0,-0.015,100.96
2010,1,24,5,0,-0.291,100.95
2010,1,24,6,0,-0.399,100.82
2010,1,24,7,0,-0.201,100.79
2010,1,24,8,5.749,0.506,100.76
2010,1,24,9,35.77,0.711,100.67
2010,1,24,10,54.93,1.217,100.67
2010,1,24,11,146.9,2.067,100.61
2010,1,24,12,37.04,2.032,100.47
2010,1,24,13,46.62,1.801,100.36
2010,1,24,14,70.2,1.861,100.12
2010,1,24,15,29.38,1.975,100.14
2010,1,24,16,12.77,2.066,100.09
2010,1,24,17,8.3,2.376,100.02
2010,1,24,18,0,2.367,99.947
2010,1,24,19,0,2.835,99.864
2010,1,24,20,0,3.269,99.802
2010,1,24,21,0,3.484,99.718
2010,1,24,22,0,3.771,99.626
2010,1,24,23,0,4.243,99.549
2010,1,24,24,0,4.488,99.395
2010,1,25,1,0,4.775,99.25
2010,1,25,2,0,5.156,99.203
2010,1,25,3,0,4.78,99.132
2010,1,25,4,0,4.636,98.998
2010,1,25,5,0,3.72,98.858
2010,1,25,6,0,3.853,98.809
2010,1,25,7,0,3.22,98.756
2010,1,25,8,0,3.906,98.696
2010,1,25,9,14.69,4.471,98.617
2010,1,25,10,40.86,2.793,98.705
2010,1,25,11,110.5,1.182,98.77
2010,1,25,12,217.1,0.909,98.811
2010,1,25,13,114.3,0.855,98.802
2010,1,25,14,100.9,0.674,98.862
2010,1,25,15,31.93,0.476,98.95
2010,1,25,16,12.14,0.176,99.035
2010,1,25,17,0,-0.753,99.177
2010,1,25,18,0,-1.268,99.278
2010,1,25,19,0,-1.159,99.351
2010,1,25,20,0,-1.295,99.388
2010,1,25,21,0,-1.114,99.378
2010,1,25,22,3.833,-0.941,99.378
2010,1,25,23,5.111,-0.931,99.386
2010,1,25,24,6.388,-0.973,99.388
2010,1,26,1,6.388,-1.107,99.397
2010,1,26,2,5.749,-1.245,99.405
2010,1,26,3,6.388,-1.352,99.448
2010,1,26,4,4.472,-1.547,99.469
2010,1,26,5,5.111,-1.908,99.512
2010,1,26,6,4.472,-1.699,99.578
2010,1,26,7,2.555,-2.341,99.685
2010,1,26,8,6.388,-2.709,99.772
2010,1,26,9,30.66,-2.634,99.854
2010,1,26,10,111.8,-2.468,99.943
2010,1,26,11,134.2,-2.733,100.04
2010,1,26,12,194.8,-2.727,100.1
2010,1,26,13,192.3,-2.784,100.1
2010,1,26,14,180.8,-2.518,100.14
2010,1,26,15,67.08,-2.441,100.25
2010,1,26,16,70.3,-2.639,100.37
2010,1,26,17,17.89,-2.958,100.45
2010,1,26,18,3.194,-2.961,100.53
2010,1,26,19,6.388,-3.026,100.61
2010,1,26,20,3.194,-3.014,100.68
2010,1,26,21,0,-2.718,100.73
2010,1,26,22,0,-2.751,100.77
2010,1,26,23,0,-3.333,100.82
2010,1,26,24,0,-3.966,100.88
2010,1,27,1,0,-4.187,100.96
2010,1,27,2,0,-4.517,100.99
2010,1,27,3,0,-4.651,101.04
2010,1,27,4,0,-4.483,101.02
2010,1,27,5,0,-4.788,101.04
2010,1,27,6,0,-5.09,101.08
2010,1,27,7,0,-5.573,101.14
2010,1,27,8,7.67,-6.142,101.2
2010,1,27,9,40.26,-6.428,101.25
2010,1,27,10,152.1,-6.817,101.34
2010,1,27,11,183.4,-6.817,101.36
2010,1,27,12,353.4,-6.975,101.36
2010,1,27,13,265.8,-6.778,101.32
2010,1,27,14,247.3,-6.951,101.32
2010,1,27,15,231.3,-6.95,101.35
2010,1,27,16,218.5,-6.513,101.37
2010,1,27,17,24.28,-6.948,101.42
2010,1,27,18,0,-6.964,101.4
2010,1,27,19,0,-7.21,101.37
2010,1,27,20,0,-6.274,101.35
2010,1,27,21,0,-5.965,101.3
2010,1,27,22,-5.752,-5.677,101.31
2010,1,27,23,0,-5.258,101.28
2010,1,27,24,0,-5.604,101.25
2010,1,28,1,0.639,-6.002,101.18
2010,1,28,2,0,-6.154,101.11
2010,1,28,3,-1.917,-5.808,101.02
2010,1,28,4,1.917,-5.616,100.95
2010,1,28,5,1.917,-5.762,100.9
